+------------+------+----------+----------+------------+------+-------+
| weekStart  | day  | start    | end      | department | role | needs |
+------------+------+----------+----------+------------+------+-------+
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ER         | RN   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ER         | LPN  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ER         | NP   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ER         | CNS  |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ER         | NA   |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ICU        | RN   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ICU        | LPN  |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ICU        | NP   |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ICU        | CNS  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | ICU        | NA   |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | MAT        | RN   |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | MAT        | LPN  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | MAT        | NP   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | MAT        | CNS  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | MAT        | NA   |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | OR         | RN   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | OR         | LPN  |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | OR         | NP   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | OR         | CNS  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | OR         | NA   |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | QUARR      | RN   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | QUARR      | LPN  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | QUARR      | NP   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | QUARR      | CNS  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | QUARR      | NA   |     2 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | PSYCH      | RN   |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | PSYCH      | LPN  |     3 |
| 2017-10-01 | MON  | 07:00:00 | 15:00:00 | PSYCH      | NP   |     2 |
